SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKPCT,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
202,Aiton ES,-76.93370092,38.89700148,Elementary,es,4,7,TRUE,2016,0.82,217,79,1,50,265,2539741.442,582219.8122,0,46497.9585,113520.9526,0,0,0,339940,93040,0,0,0,0,0,432980,3714960.165
203,Amidon-Bowen ES,-77.0181253,38.87951507,Elementary,es,3,6,TRUE,2016,0.74,271,68,7,75,366,3045275.9,792279.6245,29637.51791,0,149876.2192,0,0,0,379830,93040,0,0,0,0,0,472870,4489939.262
450,Anacostia HS,-76.98307725,38.87008373,High,hs,8,8,TRUE,2016,0.89,566,0,0,220,636,4646789.895,3276039.125,0,0,286636.9806,0,0,0,961938.6,0,0,0,97104,0,0,1059042.6,9268508.6
452,Ballou HS,-77.00097526,38.83938233,High,hs,8,8,TRUE,2016,0.85,695,0,2,270,818,5801484.873,3497100.315,8459.865373,0,327397.3999,301747,0,0,1219494.5,0,0,0,80920,0,0,1300414.5,11236603.95
462,Ballou STAY,-77.00097526,38.83938233,STAY,other,8,8,FALSE,2016,NA,NA,0,0,45,485,2319411.685,279120,0,0,14775,0,0,240733.5624,0,0,0,0,0,0,0,0,2854040.248
204,Bancroft ES,-77.04055344,38.93431802,Elementary,es,3,1,FALSE,2016,0.36,186,115,295,56,516,4077936.454,675259.8122,1349080,110359.256,156842.3261,0,0,0,218185,0,93040,0,0,0,0,311225,6680702.849
205,Barnard ES,-77.01777708,38.94823061,Elementary,es,5,4,FALSE,2016,0.47,298,139,193,70,634,4631760.545,1122238.498,837360,238081.851,261207.0955,0,0,0,369691.8279,46520,93040,0,0,0,0,509251.8279,7599899.817
206,Beers ES,-76.95560475,38.86434951,Elementary,es,2,7,FALSE,2016,0.55,239,101,1,96,434,3554053.422,1356278.122,0,0,190198.6232,0,0,0,412900,0,0,0,0,0,0,412900,5513430.168
402,Benjamin Banneker HS,-77.02397697,38.92383242,High,hs,9,1,FALSE,2016,0.25,114,0,7,10,454,3236235.803,210059.8122,29627.20614,0,98784.23532,601311,0,0,122265.3,0,0,89169,0,0,0,211434.3,4387452.356
212,Brent ES,-77.00145985,38.88480087,Elementary,es,4,6,FALSE,2016,0.06,23,66,5,33,380,3228538.687,511720,21165.44676,0,9200,0,0,0,49270,0,0,0,0,0,0,49270,3819894.133
