school,lineitem,fte,budget
280,91,3,283878
280,92,3,283878
280,93,3,283878
280,94,2,189252
280,96,1,94626
280,103,2,189252
280,106,1.5,141939
280,107,3,283878
280,109,3,283878
280,112,1,94626
280,115,1,94626
280,116,2,189252
280,117,3,283878
280,123,1,94626
280,131,1,94626
280,133,na,500
280,136,na,43274.4
284,1,na,47884
284,2,1,46722
284,5,na,106158.89
284,9,9,276129
284,22,1,43728
284,24,1,118667
284,28,1,62752
284,31,na,35000
284,43,1,94626
284,44,1,57444
284,45,na,12000
284,46,na,17000
284,47,2,71430
284,48,2,89752
284,51,1,98825
284,52,na,5000
284,53,na,51059
284,54,na,23000
284,55,na,86200
284,58,na,2000
284,67,1,94626
284,68,na,1000
284,76,1,147768
284,78,na,9839
284,79,na,39000
284,80,0.5,47313
284,82,1,94626
284,90,2,189252
284,91,2,189252
284,92,2,189252
284,93,2,189252
284,94,2,189252
284,96,1,94626
284,105,9.5,898947
284,106,1,94626
284,107,3.75,354847.5
284,109,2,189252
284,110,1,94626
284,115,2,189252
284,116,2,189252
284,117,2,189252
284,118,1,94626
284,131,1,94626
284,132,1,94626
285,1,na,9629
285,3,1,74398
285,5,na,50535.47
285,9,8,245448
285,11,2,61362
285,13,1,30681
285,26,1,118667
285,28,1,62752
285,31,na,7500
285,42,1,50010
285,44,1,57444
285,45,na,10000
285,46,na,22888
285,47,2,71430
285,48,1,44876
285,52,na,2500
285,53,na,6000
285,54,na,14294
285,58,na,2500
285,59,na,4242
285,63,na,750
285,64,1,94626
285,66,na,8516.34
285,67,1,94626
285,68,na,4000
285,70,na,3500
285,71,na,100000
285,76,1,147768
285,78,na,4000
285,79,na,40000
285,80,1,94626
285,82,1,94626
285,84,1,94626
285,87,na,3500
285,90,3,283878
285,91,2,189252
285,92,2,189252
285,93,2,189252
285,94,2,189252
285,96,1,94626
285,101,1,94626
285,103,2,189252
285,106,1,94626
285,107,3,283878
285,109,3,283878
285,112,1,94626
285,115,2,189252
285,116,2,189252
285,117,1,94626
285,119,2,189252
285,131,1,94626
285,133,na,1500
287,1,na,0
287,2,1,46722
287,3,1,74398
287,9,8,245448
287,10,2,61362
287,24,1,118667
287,37,1,43567
287,40,1,90918
287,44,1,57444
287,45,na,12000
287,46,na,18000
287,48,3,134628
287,52,na,5000
287,54,na,51547
287,55,na,20000
287,57,na,3000
287,58,na,8000
287,60,1,94626
287,63,na,800
287,64,2,189252
287,67,1,94626
287,68,na,6000
287,74,na,10000
287,76,1,147768
287,78,na,19785
287,79,na,68000
287,80,0.5,47313
287,81,1,39448
287,82,1,94626
287,84,1,94626
287,90,5,473130
287,91,5,473130
287,92,4,378504
287,93,4,378504
287,94,4,378504
287,96,1,94626
287,102,1,94626
287,105,3,283878
287,106,1,94626
287,107,2.5,236565
287,109,5,473130
287,112,1,94626
287,115,4,378504
287,118,1,94626
287,119,3,283878
287,120,1,94626
287,131,1,94626
287,134,na,10000
288,1,na,2500
288,2,1,46722
288,9,8,245448
288,26,1,118667
288,27,1,39009
288,28,1,62752
288,31,na,10000
288,44,2,114888
288,45,na,2000
288,46,na,11000
288,47,1,35715
288,49,1,89373
288,52,na,6000
288,54,na,10000
288,57,na,1000
288,63,na,1204
288,64,1,94626
288,66,na,38796.66
288,67,1,94626
288,70,na,1000
288,71,na,100000
288,74,na,3000
288,76,1,147768
288,78,na,10000
288,79,na,38000
288,80,0.5,47313
288,82,1,94626
288,90,3,283878
288,91,3,283878
288,92,2,189252
288,93,2,189252
288,94,2,189252
288,96,1,94626
288,106,1,94626
288,107,3,283878
288,109,2,189252
288,110,1,94626
288,112,1,94626
288,117,6,567756
288,118,2,189252
288,131,1,94626
288,132,1,94626
288,133,na,1000
288,134,na,2000
290,1,na,25307
290,2,1,46722
290,9,4,122724
290,11,3,92043
290,21,1,30681
290,24,1,118667
290,27,1,39009
290,28,1,62752
290,30,na,1000
290,31,na,20000
290,34,1,46031
290,44,1,57444
290,45,na,10000
290,46,na,15282
290,47,1,35715
290,48,1,44876
290,52,na,4000
290,53,na,4000
290,54,na,15000
290,55,na,13304
290,57,na,2000
290,58,na,3000
290,59,na,4206
290,60,1,94626
290,63,na,400
290,64,1,94626
290,67,1,94626
290,68,na,2000
290,70,na,5000
290,71,na,100000
290,72,na,5000
290,73,na,28000
290,74,na,15000
290,76,1,147768
290,78,na,5000
290,79,na,30700
290,80,0.5,47313
290,82,1,94626
290,84,1,94626
290,87,na,5000
290,90,2,189252
290,91,1,94626
290,92,1,94626
290,93,2,189252
290,94,1,94626
290,95,1,94626
290,96,1,94626
290,103,3,283878
290,104,1,94626
290,105,0.5,47313
290,106,1,94626
290,107,3,283878
290,109,2,189252
290,110,1,94626
290,112,1,94626
290,115,1,94626
290,116,1,94626
290,118,2,189252
290,123,1,94626
290,128,1,94626
290,129,1,94626
290,131,1,94626
290,134,na,5000
290,135,na,2000
291,1,na,8800
291,2,1,46722
291,5,na,53695.88
291,6,1,30681
291,9,9,276129
291,10,1,30681
291,11,1,30681
291,24,1,118667
291,27,1,39009
291,28,1,62752
291,37,1,43567
291,44,1,57444
291,45,na,5000
291,46,na,13814
291,48,2,89752
291,49,1,89373
291,52,na,7500
291,53,na,2000
291,54,na,20000
291,55,na,5000
291,59,na,1500
291,64,1,94626
291,67,1,94626
291,71,na,100000
291,74,na,6083
291,76,1,147768
291,78,na,3825
291,79,na,37200
291,80,1,94626
291,82,1,94626
291,87,na,1200
291,90,2,189252
291,91,3,283878
291,92,2,189252
291,93,2,189252
291,94,1,94626
291,96,0.5,47313
291,106,1,94626
291,107,3,283878
291,109,3,283878
291,112,1,94626
291,115,3,283878
291,116,3,283878
291,131,0.5,47313
292,1,na,20000
292,2,3,140166
292,9,9,276129
292,11,1,30681
292,14,6,184086
292,24,3,356001
292,28,1,62752
292,33,1,43567
292,44,2,114888
292,45,na,6500
292,46,na,12000
292,47,1,35715
292,48,3,134628
292,49,1,89373
292,54,na,30000
292,55,na,30000
292,58,na,1000
292,59,na,20000
292,60,2,189252
292,64,2,189252
292,67,2,189252
292,71,na,100000
292,72,na,5000
292,73,na,28000
292,74,na,12000
292,76,1,147768
292,78,na,16525
292,79,na,65700
292,80,1,94626
292,82,2,189252
292,90,4,378504
292,91,4,378504
292,92,4,378504
292,93,4,378504
292,94,4,378504
292,95,4,378504
292,96,2,189252
292,103,1,94626
292,104,2,189252
292,105,6,567756
292,106,2,189252
292,107,9,851634
292,109,4,378504
292,110,2,189252
292,112,1,94626
292,115,2,189252
292,118,1,94626
292,123,2,189252
292,128,2,189252
292,131,1,94626
292,133,na,3088
294,1,na,8000
294,2,1,46722
294,5,na,78347.18
294,7,4,122724
294,9,7,214767
294,10,2,61362
294,11,2,61362
294,16,1,36703
294,24,1,118667
294,26,1,118667
294,28,1,62752
294,31,na,31600
294,40,1,90918
294,42,1,50010
294,44,1,57444
294,45,na,10000
294,46,na,9500
294,47,1,35715
294,48,2,89752
294,54,na,10397
294,55,na,10000
294,64,1,94626
294,66,na,4731.3
294,67,0.5,47313
294,71,na,100000
294,76,1,147768
294,78,na,17000
294,79,na,37400
294,80,0.5,47313
294,82,2,189252
294,90,2,189252
294,91,3,283878
294,92,2,189252
294,93,2,189252
294,94,2,189252
294,96,1,94626
294,100,2,189252
294,102,1,94626
294,103,2,189252
294,106,1,94626
294,107,4,378504
294,109,3,283878
294,112,1,94626
294,115,2,189252
294,116,2,189252
294,118,1,94626
294,131,0.5,47313
295,1,na,0
295,2,1,46722
295,4,na,3292
295,5,na,64441.32
295,6,2,61362
295,9,6,184086
295,15,1,30681
295,16,1,36703
295,19,3,92043
295,27,2,78018
295,29,1,36519
295,31,na,5000
295,40,1,90918
295,44,1,57444
295,45,na,20000
295,46,na,20000
295,47,1,35715
295,48,1,44876
295,52,na,2500
295,54,na,10000
295,55,na,5000
295,58,na,1014
295,59,na,5000
295,63,na,600
295,64,1,94626
295,66,na,17032.68
295,70,na,1500
295,74,na,5000
295,76,1,147768
295,78,na,2500
295,79,na,27900
295,80,1,94626
295,82,1.5,141939
295,90,2,189252
295,91,2,189252
295,92,2,189252
295,93,2,189252
295,94,1,94626
295,96,1,94626
295,97,2,189252
295,106,1,94626
295,107,2,189252
295,108,1,94626
295,109,2,189252
295,112,0.5,47313
295,115,3,283878
295,116,2,189252
295,126,3,283878
295,131,0.5,47313
295,134,na,8000
296,1,na,13919
296,2,1,46722
296,5,na,92639.93
296,9,10,306810
296,12,1,30681
296,13,3,92043
296,24,1,118667
296,29,1,36519
296,31,na,49000
296,37,1,43567
296,40,1,90918
296,44,1,57444
296,45,na,8000
296,46,na,0
296,48,4,179504
296,49,1,89373
296,54,na,15000
296,59,na,5000
296,63,na,500
296,64,2,189252
296,67,1,94626
296,68,na,9318
296,74,na,19000
296,76,1,147768
296,78,na,35000
296,79,na,47000
296,80,1,94626
296,81,1,39448
296,82,2,189252
296,90,4,378504
296,91,3,283878
296,92,3,283878
296,93,3,283878
296,94,2,189252
296,96,1,94626
296,105,13.5,1277451
296,106,1.5,141939
296,107,4,378504
296,109,4,378504
296,112,1,94626
296,115,2,189252
296,116,2,189252
296,117,2,189252
296,131,1,94626
296,132,1,94626
296,134,na,15000
299,1,na,18000
299,2,1,46722
299,5,na,50535.47
299,7,4,122724
299,9,7,214767
299,10,2,61362
299,16,1,36703
299,24,1,118667
299,27,1,39009
299,28,0.5,31376
299,29,1,36519
299,31,na,125539
299,44,1,57444
299,45,na,4000
299,46,na,9000
299,47,2,71430
299,48,1,44876
299,54,na,17000
299,55,na,10794
299,63,na,500
299,64,1,94626
299,67,0.5,47313
299,68,na,610
299,70,na,2000
299,74,na,8304
299,76,1,147768
299,78,na,6666
299,79,na,43400
299,80,1,94626
299,82,1,94626
299,90,3,283878
299,91,3,283878
299,92,2,189252
299,93,3,283878
299,94,2,189252
299,96,1,94626
299,100,2,189252
299,102,1,94626
299,105,1,94626
299,106,2,189252
299,107,4,378504
299,109,3,283878
299,110,1,94626
299,112,1,94626
299,115,2,189252
299,116,2,189252
299,118,1,94626
299,131,1,94626
299,132,1,94626
300,1,na,40000
300,2,1,46722
300,5,na,92253.03
300,9,8,245448
300,12,1,30681
300,22,1,43728
300,24,1,118667
300,31,na,27000
300,37,1,43567
300,40,0.5,45459
300,43,2,189252
300,44,1,57444
300,45,na,7500
300,46,na,10000
300,48,2,89752
300,49,1,89373
300,51,1,98825
300,54,na,35119
300,55,na,4500
300,57,na,1000
300,63,na,500
300,64,1,94626
300,67,1,94626
300,68,na,1000
300,70,na,5000
300,74,na,7500
300,76,1,147768
300,78,na,3000
300,79,na,43500
300,80,1,94626
300,81,1,39448
300,82,1,94626
300,90,3,283878
300,91,3,283878
300,92,3,283878
300,93,3,283878
300,94,2,189252
300,96,1,94626
300,105,12,1135512
300,106,1,94626
300,107,5,473130
300,109,3,283878
300,112,1,94626
300,115,2,189252
300,116,1,94626
300,117,2,189252
300,130,2,189252
300,131,1,94626
300,132,1,94626
300,133,na,500
300,134,na,2500
301,1,na,0
301,2,1,46722
301,9,12,368172
301,24,1,118667
301,42,1,50010
301,44,1,57444
301,45,na,5000
301,46,na,7000
301,48,2,89752
301,54,na,5000
301,59,na,1000
301,63,na,500
301,66,na,17032.68
301,67,1,94626
301,74,na,6200
301,79,na,22900
301,81,1,39448
301,82,1,94626
301,87,na,1000
301,96,1,94626
301,106,1,94626
301,107,1,94626
301,109,4,378504
301,112,1,94626
301,115,4,378504
301,116,4,378504
302,1,na,10000
302,5,na,78347.18
302,8,2,90478
302,9,9,276129
302,12,1,30681
302,24,1,118667
302,28,2,125504
302,29,1,36519
302,30,na,10000
302,31,na,9000
302,43,1,94626
302,44,1,57444
302,45,na,17000
302,46,na,20000
302,47,2,71430
302,48,1,44876
302,52,na,1000
302,53,na,19794
302,54,na,70000
302,55,na,60000
302,58,na,25435
302,59,na,10374
302,60,1,94626
302,63,na,800
302,64,1,94626
302,65,1,94626
302,67,0.75,70969.5
302,68,na,10000
302,70,na,5000
302,71,na,100000
302,72,na,5000
302,73,na,28000
302,74,na,10000
302,76,1,147768
302,78,na,10000
302,79,na,55300
302,80,2,189252
302,82,1,94626
302,90,3,283878
302,91,3,283878
302,92,3,283878
302,93,2,189252
302,94,2,189252
302,95,2,189252
302,96,1,94626
302,104,1,94626
302,105,9.5,898947
302,106,2,189252
302,107,6,567756
302,109,3,283878
302,110,1,94626
302,112,1,94626
302,115,3,283878
302,116,3,283878
302,118,1,94626
302,123,1,94626
302,128,1,94626
302,131,2,189252
302,133,na,3000
302,134,na,15000
302,137,1,36042
305,1,na,0
305,2,1,46722
305,9,3,92043
305,13,4,122724
305,31,na,8613
305,44,1,57444
305,45,na,0
305,46,na,0
305,48,1,44876
305,54,na,0
305,60,1,94626
305,67,1,94626
305,76,1,147768
305,79,na,16800
305,80,0.2,18925.2
305,90,1,94626
305,91,1,94626
305,92,1,94626
305,93,1,94626
305,94,1.5,141939
305,105,1.5,141939
305,106,1,94626
305,107,1,94626
305,109,1,94626
305,115,1,94626
305,116,1,94626
305,118,1,94626
305,119,0.5,47313
307,1,na,0
307,2,1,46722
307,3,1,74398
307,5,na,64441.32
307,9,7,214767
307,13,2,61362
307,24,1,118667
307,26,1,118667
307,28,1,62752
307,31,na,56313
307,40,1,90918
307,44,1,57444
307,45,na,0
307,46,na,0
307,47,1,35715
307,48,1,44876
307,54,na,30665
307,55,na,103520
307,59,na,30681
307,64,1,94626
307,65,1,94626
307,66,na,21763.98
307,67,1,94626
307,71,na,100000
307,76,1,147768
307,79,na,41900
307,80,0.5,47313
307,81,1,39448
307,82,1,94626
307,90,3,283878
307,91,3,283878
307,92,3,283878
307,93,2,189252
307,94,3,283878
307,96,1,94626
307,106,1,94626
307,107,3,283878
307,109,3,283878
307,112,1,94626
307,115,2,189252
307,116,2,189252
307,131,0.5,47313
307,133,na,2000
308,1,na,3000
308,6,1,30681
308,9,6,184086
308,27,1,39009
308,28,1,62752
308,31,na,10000
308,44,1,57444
308,45,na,3000
308,46,na,14000
308,47,2,71430
308,48,1,44876
308,49,1,89373
308,54,na,15000
308,55,na,48811
308,63,na,500
308,64,1,94626
308,67,0.5,47313
308,70,na,2000
308,71,na,100000
308,74,na,2000
308,76,1,147768
308,78,na,3000
308,79,na,21800
308,80,0.5,47313
308,81,1,39448
308,82,1,94626
308,90,2,189252
308,91,1,94626
308,92,1,94626
308,93,1,94626
308,94,1,94626
308,96,0.5,47313
308,97,1,94626
308,106,0.5,47313
308,107,2,189252
308,109,2,189252
308,112,0.5,47313
308,115,1,94626
308,116,1,94626
308,117,2,189252
308,131,0.5,47313
309,1,na,0
309,2,1,46722
309,5,na,64441.32
309,7,2,61362
309,9,8,245448
309,10,2,61362
309,15,1,30681
309,26,1,118667
309,28,1,62752
309,31,na,16000
309,40,0.5,45459
309,43,1,94626
309,44,1,57444
309,45,na,0
309,46,na,11000
309,48,2,89752
309,54,na,15000
309,55,na,1813
309,63,na,500
309,67,0.5,47313
309,68,na,300
309,74,na,3000
309,76,1,147768
309,78,na,25000
309,79,na,27800
309,80,0.5,47313
309,82,0.5,47313
309,90,2,189252
309,91,2,189252
309,92,2,189252
309,93,1,94626
309,94,1,94626
309,96,1,94626
309,100,1,94626
309,102,1,94626
309,105,5,473130
309,106,1,94626
309,107,2,189252
309,108,1,94626
309,109,2,189252
309,112,1,94626
309,115,3,283878
309,116,3,283878
309,130,1,94626
309,131,0.5,47313
312,1,na,6000
312,2,1,46722
312,20,12,368172
312,28,1,62752
312,40,1,90918
312,44,1,57444
312,45,na,2000
312,46,na,20000
312,48,2,89752
312,52,na,1500
312,53,na,5000
312,54,na,19364
312,55,na,20000
312,58,na,11000
312,63,na,20000
312,66,na,17032.68
312,70,na,5000
312,74,na,21826
312,76,1,147768
312,78,na,27000
312,79,na,10000
312,80,0.5,47313
312,82,0.5,47313
312,96,0.5,47313
312,106,1,94626
312,112,0.5,47313
312,127,11,1040886
312,137,1,36042
313,1,na,5000
313,2,1,46722
313,9,6,184086
313,28,0.5,31376
313,35,1,90918
313,44,1,57444
313,45,na,10000
313,46,na,15000
313,47,2,71430
313,48,1,44876
313,52,na,4000
313,54,na,10000
313,55,na,10900
313,57,na,1275
313,60,1,94626
313,64,1,94626
313,66,na,21763.98
313,67,1,94626
313,74,na,10000
313,76,1,147768
313,78,na,4000
313,79,na,32100
313,80,0.5,47313
313,82,0.5,47313
313,90,2,189252
313,91,2,189252
313,92,2,189252
313,93,2,189252
313,94,2,189252
313,96,1,94626
313,106,1,94626
313,107,2,189252
313,109,3,283878
313,112,1,94626
313,115,2,189252
313,116,1,94626
313,131,2,189252
315,1,na,5000
315,2,1,46722
315,9,5,153405
315,28,1,62752
315,31,na,100000
315,33,1,43567
315,40,1,90918
315,44,1,57444
315,45,na,5000
315,46,na,6000
315,47,1,35715
315,48,1,44876
315,49,1,89373
315,54,na,45927
315,55,na,6482
315,64,0.5,47313
315,65,1,94626
315,66,na,8516.34
315,67,1,94626
315,70,na,15000
315,71,na,100000
315,74,na,1500
315,76,1,147768
315,78,na,7400
315,79,na,31000
315,80,0.5,47313
315,82,0.5,47313
315,87,na,2132
315,90,2,189252
315,91,2,189252
315,92,2,189252
315,93,2,189252
315,94,2,189252
315,96,0.5,47313
315,106,1,94626
315,107,2.5,236565
315,109,2,189252
315,112,1,94626
315,115,1,94626
315,116,1,94626
315,117,1,94626
315,131,0.5,47313
315,132,0.5,47313
316,1,na,0
316,2,1,46722
316,5,na,78347.18
316,9,7,214767
316,24,1,118667
316,28,1,62752
316,31,na,33500
316,34,1,46031
316,42,1,50010
316,44,1,57444
316,45,na,15000
316,46,na,14236.5
316,47,2,71430
316,48,1,44876
316,54,na,12820.5
316,55,na,5160
316,58,na,6000
316,63,na,500
316,64,1,94626
316,66,na,8516.34
316,67,0.5,47313
316,70,na,8763
316,74,na,8000
316,76,1,147768
316,79,na,32800
316,80,0.5,47313
316,82,0.5,47313
316,87,na,2560
316,90,2,189252
316,91,3,283878
316,92,2,189252
316,93,2,189252
316,94,2,189252
316,96,1,94626
316,106,1,94626
316,107,4,378504
316,109,2,189252
316,112,1,94626
316,115,2,189252
316,116,2,189252
316,117,1,94626
316,119,1,94626
316,131,1,94626
316,132,1,94626
316,134,na,4000
316,135,na,4000
319,1,na,40000
319,2,2,93444
319,5,na,64441.32
319,9,5,153405
319,13,4,122724
319,24,2,237334
319,27,3,117027
319,28,1,62752
319,40,1,90918
319,45,na,12809
319,46,na,13000
319,47,1,35715
319,48,3,134628
319,49,1,89373
319,53,na,10000
319,54,na,41586
319,55,na,10000
319,57,na,12000
319,59,na,5000
319,63,na,1000
319,64,3,283878
319,66,na,4731.3
319,70,na,5000
319,71,na,100000
319,74,na,12000
319,76,1,147768
319,79,na,60700
319,80,1,94626
319,82,1,94626
319,90,4,378504
319,91,4,378504
319,92,4,378504
319,93,4,378504
319,94,4,378504
319,96,1,94626
319,106,1,94626
319,107,6,567756
319,109,4,378504
319,112,1,94626
319,115,3,283878
319,116,2,189252
319,130,1,94626
319,131,1,94626
319,133,na,8000
319,134,na,10000
319,135,na,5000
321,1,na,12114
321,3,1,74398
321,9,5,153405
321,13,1,30681
321,16,1,36703
321,24,1,118667
321,42,1,50010
321,44,1,57444
321,45,na,0
321,46,na,0
321,47,1,35715
321,48,2,89752
321,54,na,0
321,55,na,27313
321,60,1,94626
321,67,1,94626
321,76,1,147768
321,79,na,42900
321,80,0.5,47313
321,82,1,94626
321,90,4,378504
321,91,3,283878
321,92,3,283878
321,93,2,189252
321,94,1,94626
321,101,1,94626
321,105,3.5,331191
321,106,1.5,141939
321,107,2,189252
321,109,3,283878
321,115,2,189252
321,118,1,94626
321,119,2.5,236565
321,131,1,94626
321,134,na,20000
321,137,1,36042
322,1,na,5000
322,2,1,46722
322,5,na,50535.47
322,9,6,184086
322,27,1,39009
322,28,1,62752
322,31,na,30000
322,33,1,43567
322,44,1,57444
322,45,na,10000
322,46,na,20000
322,48,2,89752
322,49,1,89373
322,54,na,18114
322,55,na,64700
322,63,na,500
322,64,1,94626
322,66,na,13247.64
322,67,1,94626
322,71,na,100000
322,75,na,5000
322,76,1,147768
322,78,na,25000
322,79,na,30400
322,80,1,94626
322,82,1,94626
322,84,1,94626
322,90,2,189252
322,91,2,189252
322,92,2,189252
322,93,2,189252
322,94,1,94626
322,96,1,94626
322,103,2,189252
322,106,1,94626
322,107,2,189252
322,109,2,189252
322,112,1,94626
322,115,2,189252
322,116,2,189252
322,137,1,36042
324,1,na,5000
324,2,1,46722
324,3,1,74398
324,5,na,76675.65
324,7,8,245448
324,9,6,184086
324,10,2,61362
324,24,2,237334
324,29,1,36519
324,31,na,23000
324,38,1,90918
324,40,1,90918
324,41,1,90918
324,44,1,57444
324,45,na,5000
324,46,na,15000
324,47,2,71430
324,48,1,44876
324,49,1,89373
324,54,na,24326
324,55,na,25000
324,60,1,94626
324,63,na,250
324,64,1,94626
324,67,1,94626
324,71,na,100000
324,74,na,10000
324,76,1,147768
324,78,na,13000
324,79,na,45800
324,80,0.5,47313
324,82,1,94626
324,90,2,189252
324,91,3,283878
324,92,2,189252
324,93,2,189252
324,94,2,189252
324,95,2,189252
324,96,1,94626
324,100,4,378504
324,102,1,94626
324,104,1,94626
324,105,5,473130
324,106,1,94626
324,107,4,378504
324,109,2,189252
324,110,1,94626
324,112,1,94626
324,114,1,94626
324,115,2,189252
324,116,2,189252
324,123,1,94626
324,128,1,94626
324,131,1,94626
324,136,na,15978.24
325,1,na,20845
325,2,1,46722
325,5,na,64441.32
325,9,8,245448
325,11,2,61362
325,15,2,61362
325,24,1,118667
325,30,na,5000
325,31,na,3600
325,33,1,43567
325,40,0.5,45459
325,44,1,57444
325,45,na,17000
325,46,na,15000
325,47,1,35715
325,48,1,44876
325,54,na,24000
325,55,na,10522
325,58,na,5000
325,60,1,94626
325,63,na,500
325,64,1,94626
325,66,na,4731.3
325,67,1,94626
325,70,na,2500
325,71,na,100000
325,74,na,5000
325,76,1,147768
325,78,na,9000
325,79,na,43500
325,80,0.5,47313
325,82,1,94626
325,90,3,283878
325,91,3,283878
325,92,3,283878
325,93,3,283878
325,94,2,189252
325,96,1,94626
325,103,2,189252
325,106,1.5,141939
325,107,3,283878
325,108,2,189252
325,109,3,283878
325,112,1,94626
325,115,2,189252
325,116,2,189252
325,117,1,94626
325,119,1,94626
325,131,1,94626
325,134,na,5000
325,137,1,36042
326,1,na,11000
326,2,2,93444
326,5,na,78347.18
326,9,6,184086
326,13,1,30681
326,30,na,2200
326,35,1,90918
326,37,0.5,21783.5
326,43,1,94626
326,44,1,57444
326,45,na,6000
326,46,na,9322
326,47,1,35715
326,48,1,44876
326,52,na,2000
326,54,na,15000
326,55,na,10000
326,57,na,1000
326,63,na,500
326,64,1,94626
326,67,1,94626
326,68,na,1000
326,74,na,5000
326,76,1,147768
326,77,na,1000
326,78,na,4000
326,79,na,28000
326,80,0.5,47313
326,82,1,94626
326,87,na,1000
326,90,2,189252
326,91,2,189252
326,92,2,189252
326,93,2,189252
326,94,1,94626
326,96,0.5,47313
326,105,7,662382
326,106,1,94626
326,107,3,283878
326,109,2,189252
326,112,1,94626
326,117,4,378504
326,131,0.5,47313
326,132,1,94626
326,134,na,2000
327,1,na,20000
327,2,1,46722
327,5,na,50535.47
327,9,8,245448
327,12,1,30681
327,24,2,237334
327,28,1,62752
327,31,na,19000
327,42,1,50010
327,43,2,189252
327,44,1,57444
327,45,na,10000
327,46,na,16000
327,48,3,134628
327,52,na,3500
327,53,na,16649
327,54,na,55000
327,57,na,3000
327,60,1,94626
327,63,na,1000
327,64,2,189252
327,67,1,94626
327,70,na,7000
327,71,na,100000
327,72,na,5000
327,73,na,28000
327,74,na,2000
327,76,1,147768
327,78,na,40000
327,79,na,48400
327,80,1,94626
327,81,1,39448
327,82,2,189252
327,90,3,283878
327,91,3,283878
327,92,3,283878
327,93,1,94626
327,94,2,189252
327,95,2,189252
327,96,1,94626
327,104,1,94626
327,105,10,946260
327,106,2,189252
327,107,6,567756
327,109,3,283878
327,110,1,94626
327,112,1,94626
327,115,2,189252
327,116,2,189252
327,117,1,94626
327,123,1,94626
327,128,1,94626
327,130,2,189252
327,131,1,94626
328,1,na,0
328,2,1,46722
328,5,na,78347.18
328,9,8,245448
328,11,3,92043
328,24,2,237334
328,28,1,62752
328,29,1,36519
328,31,na,19750
328,40,1,90918
328,44,1,57444
328,45,na,13000
328,46,na,25000
328,47,3,107145
328,48,1,44876
328,54,na,47000
328,55,na,128035
328,58,na,14800
328,60,1,94626
328,62,1,98411
328,63,na,500
328,67,1,94626
328,74,na,3000
328,76,1,147768
328,78,na,86215
328,79,na,52700
328,80,1,94626
328,82,1.5,141939
328,90,4,378504
328,91,4,378504
328,92,4,378504
328,93,3,283878
328,94,3,283878
328,96,1,94626
328,103,3,283878
328,105,8.5,804321
328,106,1.5,141939
328,107,4,378504
328,109,4,378504
328,112,1,94626
328,117,4,378504
328,130,2,189252
328,131,1,94626
329,1,na,27062
329,2,1,46722
329,5,na,64441.32
329,8,1,45239
329,9,8,245448
329,13,1,30681
329,14,1,30681
329,27,1,39009
329,28,1,62752
329,34,1,46031
329,35,1,90918
329,37,1,43567
329,44,1,57444
329,45,na,10000
329,46,na,35000
329,47,2,71430
329,48,1,44876
329,52,na,5000
329,54,na,25000
329,55,na,5000
329,59,na,5000
329,63,na,1000
329,64,1,94626
329,67,1,94626
329,68,na,5000
329,70,na,5136
329,71,na,100000
329,74,na,15000
329,76,1,147768
329,78,na,9000
329,79,na,42600
329,80,1,94626
329,82,1.5,141939
329,84,1,94626
329,90,3,283878
329,91,3,283878
329,92,3,283878
329,93,2,189252
329,94,2,189252
329,96,1,94626
329,106,2,189252
329,107,3,283878
329,109,3,283878
329,112,1,94626
329,115,2,189252
329,116,2,189252
329,117,1,94626
329,131,1,94626
329,132,1,94626
329,133,na,1000
330,1,na,45319
330,2,2,93444
330,5,na,64828.22
330,7,6,184086
330,9,12,368172
330,10,2,61362
330,24,1,118667
330,28,1,62752
330,29,1,36519
330,31,na,10000
330,34,1,46031
330,44,1,57444
330,45,na,5000
330,46,na,15000
330,47,1,35715
330,48,3,134628
330,53,na,10000
330,54,na,30000
330,66,na,21763.98
330,67,1,94626
330,71,na,100000
330,74,na,20000
330,76,1,147768
330,78,na,10000
330,79,na,54900
330,80,1,94626
330,82,1,94626
330,84,1,94626
330,90,4,378504
330,91,5,473130
330,92,4,378504
330,93,2,189252
330,94,2,189252
330,96,1,94626
330,100,3,283878
330,102,1,94626
330,106,2,189252
330,107,4,378504
330,109,4,378504
330,112,1,94626
330,115,4,378504
330,116,4,378504
330,119,1.5,141939
330,129,1,94626
330,130,0.5,47313
330,131,1,94626
332,1,na,15000
332,2,2,93444
332,5,na,92253.03
332,7,4,122724
332,9,8,245448
332,10,2,61362
332,24,2,237334
332,29,1,36519
332,32,1,90918
332,34,2,92062
332,44,1,57444
332,45,na,5000
332,46,na,15000
332,47,2,71430
332,48,1,44876
332,53,na,5000
332,54,na,20000
332,55,na,21264
332,63,na,1000
332,64,2.5,236565
332,67,1,94626
332,71,na,100000
332,72,na,5000
332,73,na,28000
332,74,na,10000
332,76,1,147768
332,78,na,8000
332,79,na,46100
332,80,1,94626
332,81,1,39448
332,82,2,189252
332,90,2,189252
332,91,3,283878
332,92,2,189252
332,93,2,189252
332,94,2,189252
332,95,2,189252
332,96,1,94626
332,100,2,189252
332,102,2,189252
332,104,1,94626
332,105,0.5,47313
332,106,2,189252
332,107,8,757008
332,109,2,189252
332,110,1,94626
332,112,1,94626
332,115,2,189252
332,116,2,189252
332,117,1,94626
332,123,1,94626
332,128,1,94626
332,131,0.5,47313
333,1,na,25000
333,2,1,46722
333,3,2,148796
333,5,na,109319.3
333,13,5,153405
