SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKPCT,,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_SECURITY,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
467,Dunbar HS,-77.01469386,38.90852322,High,hs,9,5,TRUE,2015,0.66,0.66,411,0,3,157,625,4312839.246,1934695.485,13247.6575,0,272213.8787,0,0,0,0,418344,94626,0,0,56644,0,0,569614,7102610.268
457,Eastern HS,-76.97968429,38.89040233,High,hs,9,6,FALSE,2015,0.6,0.6,614,0,8,274,1030,6651311.752,2742158.375,37850.45,0,339400.4251,0,0,0,0,163690,473130,0,0,60690,0,0,697510,10468231
232,Eaton ES,-77.06582114,38.93272674,Elementary,es,5,3,FALSE,2015,0.06,0.06,28,36,48,39,477,3571254.191,473130.625,189252.25,0,11750,0,131564.9337,0,0,47700,0,0,0,0,0,0,47700,4424652
471,Ellington School of the Arts,-77.07030757,38.91344604,Art,hs,8,2,FALSE,2015,0.21,0.21,110,0,8,25,515,3567283.497,283878.375,34065.405,0,13525,2289744.39,0,0,0,51500,0,0,0,0,0,0,51500,6239996.667
407,Eliot-Hine MS,-76.97897792,38.89243116,Middle,ms,7,6,TRUE,2015,0.71,0.71,195,0,1,59,275,2168246.342,943476.35,18925.225,0,126570.7843,0,0,0,0,729297,156192,0,0,0,0,0,885489,4142707.702
238,Garfield ES,-76.97080478,38.85173304,Elementary,es,1,8,TRUE,2015,0.77,0.77,213,50,0,37,276,2370849.893,377786.43,0,0,115300.783,0,0,0,0,127600,312696,0,0,0,0,0,440296,3304233.106
239,Garrison ES,-77.02861256,38.91390096,Elementary,es,3,2,FALSE,2015,0.54,0.54,155,85,32,74,289,2681793.072,1191712.61,141939.1875,50149.29075,121369.2453,0,0,0,0,28900,0,0,0,0,0,0,28900,4215863.406
227,H.D. Cooke ES,-77.03881058,38.92394275,Elementary,es,1,1,TRUE,2015,0.54,0.54,222,90,180,37,413,3791315.634,473130.625,851635.125,91482.0465,171650.7897,0,0,0,0,141300,0,0,0,0,0,0,141300,5520514.221
246,Hardy MS,-77.0686139,38.9155087,Middle,ms,7,2,FALSE,2015,0.27,0.27,108,0,19,52,400,2675126.063,832421.6175,94626.125,0,88496.57927,146624,0,0,0,738453,0,0,0,0,0,0,738453,4575747.385
413,Hart MS,-76.99717875,38.83773754,Middle,ms,7,8,TRUE,2015,0.76,0.76,438,0,0,159,574,3718078.988,1705716.16,0,63926.876,243171.9521,125307,0,0,0,917854,407322,0,0,0,0,0,1325176,7181376.976
258,Hearst ES,-77.07195522,38.94072231,Elementary,es,4,3,FALSE,2015,0.15,0.15,43,43,23,30,293,2597145.932,751845.27,94626.125,0,7175,0,0,0,0,29300,0,0,0,0,0,0,29300,3480092.327
249,Hendley ES,-76.99918485,38.82898558,Elementary,es,1,8,FALSE,2015,0.83,0.83,443,70,0,75,533,4230621.702,718000,0,91482.0465,225833.4885,0,0,0,0,53300,39009,0,0,0,0,0,92309,5358246.237
251,Houston ES,-76.92994765,38.90541499,Elementary,es,2,7,FALSE,2015,0.68,0.68,191,53,2,44,282,2378278.64,644853.5825,8516.35125,50149.29075,118768.4757,0,0,0,0,28200,343557,0,0,0,0,0,371757,3572323.34
252,Hyde-Addison ES,-77.06453782,38.90801923,Elementary,es,5,2,FALSE,2015,0.07,0.07,22,20,24,29,341,2796351.726,551125.1075,141939.1875,0,8350,0,0,0,0,34100,0,0,0,0,0,0,34100,3531866.021
950,Incarcerated Youth Program,-76.97637892,38.88343057,Alternative,other,8,7,FALSE,2015,NA,NA,NA,0,0,15,24,487867.1156,473130.625,0,0,15675,0,0,0,0,18092,0,0,0,8092,0,0,26184,1002856.741
339,J.O. Wilson ES,-76.99658902,38.90275767,Elementary,es,3,6,FALSE,2015,0.48,0.48,224,116,6,63,462,3921591.832,801740.1975,25549.05375,105259.6318,187688.8686,0,0,0,0,140826,0,0,0,0,0,0,140826,5182655.583
254,Janney ES,-77.08099483,38.94755009,Elementary,es,5,3,FALSE,2015,0.01,0.01,8,80,30,41,672,4954052.858,567756.75,141939.1875,0,15675,0,864355.0618,0,0,67200,0,0,0,0,0,0,67200,6610978.857
433,Jefferson MS,-77.02291066,38.8798706,Middle,ms,7,6,FALSE,2015,0.63,0.63,192,0,2,78,307,2341168.966,951803.9925,8516.35125,36371.7055,129605.0155,0,0,0,0,882436,164496,0,0,0,0,0,1046932,4514398.03
416,Johnson MS,-76.98370368,38.85133657,Middle,ms,7,8,TRUE,2015,0.76,0.76,215,0,3,70,283,2174821.362,952007.0325,13247.6575,0,117468.091,0,0,0,0,656168,47313,0,0,0,0,0,703481,3961025.143
421,Kelly Miller MS,-76.93245507,38.89331503,Middle,ms,7,7,TRUE,2015,0.72,0.72,411,0,5,110,570,3495064.829,1422376.15,21764.00875,0,222365.7958,90215,0,0,0,1062090,30861,0,0,0,0,0,1092951,6344736.783
257,Ketcham ES,-76.98362116,38.86604236,Elementary,es,3,8,TRUE,2015,0.78,0.78,247,70,0,32,318,2819767.513,378504.625,0,50149.29075,132639.2466,0,0,0,0,131800,94626,0,0,0,0,0,226426,3607486.675
272,Key ES,-77.10052732,38.9268015,Elementary,es,2,3,FALSE,2015,0.03,0.03,11,40,37,26,391,3258813.693,378504.5,141939.1875,0,9525,0,0,0,0,39100,0,0,0,0,0,0,39100,3827882.38
259,Kimball ES,-76.95757271,38.88308276,Elementary,es,3,7,TRUE,2015,0.71,0.71,246,70,0,35,345,3037999.936,425817.5625,0,77704.46125,143042.3248,0,0,0,0,134500,0,0,0,0,0,0,134500,3819064.284
344,"King, M.L. ES",-76.99823899,38.84244285,Elementary,es,1,8,TRUE,2015,0.81,0.81,334,90,0,38,412,3876649.909,473130.625,0,63926.876,177719.252,0,0,0,0,141200,0,0,0,0,42010.2802,0,183210.2802,4774636.942
417,Kramer MS,-76.98017131,38.87128607,Middle,ms,7,8,TRUE,2015,0.79,0.79,293,0,0,86,371,2440319.734,1048855.925,0,0,159513.8652,0,0,0,0,897554,156348,0,0,0,0,0,1053902,4702591.524
261,Lafayette ES,-77.06803712,38.96662722,Elementary,es,4,4,FALSE,2015,0.03,0.03,24,80,18,37,700,5068351.667,359579.275,94626.125,0,17225,0,883417.9329,0,0,70000,0,0,0,0,0,0,70000,6493200
370,Langley ES,-77.00589039,38.91516256,Elementary,es,4,5,FALSE,2015,0.58,0.58,167,70,9,76,291,2456472.479,1113382.62,86109.77375,50149.29075,121369.2453,0,0,0,0,123726,156348,0,0,0,0,0,280074,4107557.409
264,LaSalle-Backus EC,-76.99988254,38.95997181,Education Campus,campus,6,4,TRUE,2015,0.58,0.58,207,51,98,63,357,3493779.028,1163636.645,378504.5,50149.29075,148243.8639,0,0,0,0,352952,47313,0,0,0,0,0,400265,5634578.328
266,Leckie ES,-77.01289191,38.82819645,Elementary,es,2,8,FALSE,2015,0.53,0.53,212,105,1,40,402,3650783.598,283878.5,4731.30625,77704.46125,162114.6347,0,0,0,0,40200,94626,0,0,0,0,0,134826,4314038.5
271,Ludlow-Taylor ES,-76.99649249,38.89874381,Elementary,es,1,6,FALSE,2015,0.37,0.37,125,106,5,58,336,3138107.337,1049773.423,21764.00875,119037.217,129605.0155,0,0,0,0,33600,0,0,0,0,0,0,33600,4491887
884,Luke Moore HS,-76.99231633,38.93227605,Alternative,other,9,5,TRUE,2015,NA,NA,NA,0,2,30,382,2864979.322,542821.05,8516.35125,-11500,157780.0188,0,118667,0,0,130620,0,0,0,92420,0,0,223040,3904303.743
308,Malcolm X ES,-76.98339858,38.84164506,Elementary,es,2,8,TRUE,2015,0.76,0.76,166,66,0,28,218,2167660.7,495507.9875,0,0,97528.8578,0,0,0,0,121800,0,0,0,0,0,0,121800,2882497.545
273,Mann ES,-77.08782619,38.93429197,Elementary,es,5,3,FALSE,2015,0.01,0.01,2,40,35,15,301,2729564.423,208177.475,141939.1875,0,7175,0,0,0,0,30100,0,0,0,0,0,0,30100,3116956.086
284,Marie Reed ES,-77.04052995,38.91916731,Elementary,es,3,1,FALSE,2015,0.36,0.36,139,96,233,34,390,3671926.497,425817.5625,1088200.438,105259.6318,163415.0195,0,0,0,0,39000,0,0,0,0,0,0,39000,5493619.148
274,Maury ES,-76.9886575,38.89218486,Elementary,es,5,6,FALSE,2015,0.2,0.2,72,86,2,25,362,3070535.328,283878.375,8516.35125,45000,8475,49626.125,0,0,0,36200,0,0,0,0,0,0,36200,3502231.179
280,Miner ES,-76.98290432,38.89737568,Elementary,es,5,6,FALSE,2015,0.72,0.72,294,105,6,58,408,3635878.808,787510.84,21764.00875,77704.46125,184654.6374,0,0,0,0,40800,30861,0,0,0,502155.4184,0,573816.4184,5281329.173
285,Moten ES,-76.98294365,38.85665719,Elementary,es,4,8,TRUE,2015,0.8,0.8,319,87,2,43,400,3587902.451,503632.715,8516.35125,50149.29075,156913.0957,0,0,0,0,140000,220113,0,0,0,0,0,360113,4667226.903
287,Murch ES,-77.07007921,38.95293319,Elementary,es,1,3,FALSE,2015,0.04,0.04,25,60,73,31,680,4493706.835,534493.465,283878.375,0,15650,0,722699.3253,0,0,257252,0,0,0,0,0,0,257252,6307680
288,Nalle ES,-76.93079651,38.88595408,Elementary,es,2,7,TRUE,2015,0.72,0.72,274,107,9,40,380,3645252.838,425817.5625,38796.71125,0,159947.3268,0,0,0,0,138000,0,0,0,0,0,0,138000,4407814.438
291,Orr ES,-76.97448402,38.87179682,Elementary,es,5,8,TRUE,2015,0.72,0.72,268,106,0,48,372,3178030.926,475173.75,0,0,153878.8645,0,0,0,0,137200,92583,0,0,0,36131.12927,0,265914.1293,4072997.669
292,Oyster-Adams Bilingual School,-77.04437725,38.9173092,Education Campus,campus,3,3,FALSE,2015,0.07,0.07,44,46,108,78,657,5488080.888,1260821.045,567756.75,0,16525,500000,0,0,0,756203,0,0,0,0,0,0,756203,8589386.683
294,Patterson ES,-77.00848471,38.82696603,Elementary,es,3,8,TRUE,2015,0.78,0.78,290,79,1,83,374,3070438.553,1018912.673,4731.30625,77704.46125,154312.3261,0,0,0,0,137400,220113,0,0,0,0,0,357513,4683612.319
295,Payne ES,-76.98419491,38.88513231,Elementary,es,2,6,FALSE,2015,0.55,0.55,152,79,4,42,279,2598667.329,988254.78,17032.7025,63926.876,111833.0903,0,0,0,0,27900,220113,0,0,0,0,0,248013,4027727.778
301,Peabody ES,-76.99985799,38.89289599,Elementary,es,2,6,FALSE,2015,0.07,0.07,16,141,5,10,229,2351544.112,141939.1875,17032.7025,0,5700,0,0,0,0,22900,0,0,0,0,0,0,22900,2539116.002
478,Phelps ACE HS,-76.97189763,38.90199169,High,hs,8,5,FALSE,2015,0.47,0.47,166,0,15,40,354,2918985.185,565198.4125,47313.0625,0,98741.10661,0,0,0,0,59676,0,0,0,24276,428142.4963,0,512094.4963,4142332.263
299,Plummer ES,-76.93993468,38.88723986,Elementary,es,1,7,FALSE,2015,0.77,0.77,335,76,22,85,434,3759223.383,902088.52,94626.125,50149.29075,180320.0215,0,0,0,0,43400,39009,0,0,0,0,0,82409,5068816.341
300,Powell ES,-77.03122742,38.94153401,Elementary,es,3,4,FALSE,2015,0.45,0.45,194,88,251,49,435,3974882.584,662382.875,1355447.17,91482.0465,175985.4056,0,0,0,0,43500,0,0,0,0,0,0,43500,6303680.081
